,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
50,58.0,49.0,,50.0,,,39.0,75.0,43.0,67.0,,,49.0,56.0,48.0,56.0,30.0,54.0,,,40.0,,52.0,53.0,,,,59.0,,,50.0,,84.0,52.0,,47.0,58.0,,38.0,,43.0,54.0,47.0,,61.0,86.0,,
51,,45.0,27.0,45.0,47.0,65.0,47.0,50.0,,52.0,43.0,56.0,40.0,,32.0,42.0,56.0,41.0,42.0,41.0,44.0,55.0,,46.0,44.0,37.0,47.0,,,,,,68.0,38.0,48.0,38.0,50.0,35.0,42.0,37.0,47.0,50.0,46.0,,42.0,,41.0,
52,56.0,47.0,37.0,40.0,43.0,50.0,40.0,46.0,63.0,52.0,38.0,50.0,43.0,28.0,48.0,50.0,42.0,45.0,41.0,42.0,40.0,48.0,30.0,54.0,34.0,33.0,56.0,32.0,,41.0,32.0,52.0,61.0,41.0,40.0,48.0,20.0,41.0,48.0,56.0,50.0,48.0,50.0,44.0,37.0,71.0,46.0,55.0
53,53.0,44.0,35.0,46.0,50.0,42.0,50.0,58.0,33.0,61.0,61.0,56.0,48.0,49.0,44.0,49.0,41.0,52.0,19.0,40.0,31.0,47.0,35.0,47.0,49.0,53.0,39.0,45.0,38.0,41.0,47.0,27.0,74.0,19.0,36.0,12.0,37.0,55.0,,21.0,39.0,39.0,34.0,38.0,54.0,67.0,47.0,42.0
54,70.0,45.0,50.0,28.0,40.0,45.0,,49.0,47.0,62.0,28.0,55.0,47.0,47.0,60.0,,74.0,45.0,50.0,49.0,42.0,50.0,52.0,47.0,34.0,40.0,36.0,45.0,48.0,48.0,50.0,20.0,61.0,48.0,40.0,49.0,36.0,54.0,34.0,45.0,44.0,47.0,,49.0,39.0,61.0,53.0,57.0
55,60.0,36.0,44.0,46.0,55.0,32.0,48.0,46.0,43.0,63.0,52.0,41.0,43.0,43.0,41.0,49.0,43.0,39.0,40.0,38.0,30.0,36.0,35.0,50.0,29.0,39.0,26.0,43.0,35.0,30.0,45.0,44.0,59.0,38.0,51.0,36.0,33.0,36.0,45.0,50.0,34.0,50.0,34.0,34.0,48.0,57.0,53.0,52.0
56,28.0,41.0,46.0,33.0,49.0,43.0,30.0,49.0,35.0,56.0,32.0,41.0,38.0,40.0,39.0,40.0,42.0,36.0,43.0,36.0,28.0,47.0,36.0,21.0,47.0,26.0,36.0,39.0,26.0,40.0,51.0,36.0,66.0,48.0,25.0,48.0,48.0,52.0,23.0,43.0,40.0,46.0,57.0,37.0,47.0,69.0,45.0,46.0
57,43.0,27.0,30.0,44.0,19.0,58.0,37.0,33.0,46.0,58.0,46.0,37.0,45.0,47.0,42.0,31.0,51.0,48.0,43.0,43.0,52.0,58.0,39.0,51.0,38.0,46.0,32.0,43.0,37.0,48.0,56.0,21.0,45.0,36.0,52.0,45.0,37.0,39.0,37.0,36.0,47.0,37.0,35.0,42.0,31.0,58.0,41.0,50.0
58,36.0,54.0,50.0,,58.0,66.0,53.0,48.0,55.0,52.0,62.0,53.0,59.0,39.0,49.0,,,,39.0,28.0,,53.0,50.0,74.0,55.0,,47.0,51.0,44.0,43.0,53.0,47.0,68.0,,37.0,39.0,48.0,36.0,,44.0,54.0,,46.0,58.0,43.0,,,52.0
59,47.0,,,43.0,47.0,51.0,50.0,47.0,62.0,60.0,51.0,24.0,42.0,42.0,37.0,44.0,,,50.0,35.0,37.0,,,49.0,19.0,,44.0,33.0,42.0,53.0,62.0,49.0,,,53.0,,,47.0,46.0,,,51.0,39.0,46.0,51.0,50.0,,39.0
