,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
46,34.0,39.0,59.0,32.0,43.0,39.0,41.0,37.0,41.0,26.0,50.0,43.0,45.0,46.0,48.0,40.0,22.0,38.0,30.0,34.0,30.0,36.0,25.0,46.0,41.0,43.0,38.0,32.0,42.0,33.0,46.0,41.0,32.0,38.0,46.0,44.0,39.0,48.0,25.0,40.0,11.0,46.0,39.0,35.0,55.0,52.0,39.0,36.0
47,48.0,38.0,58.0,53.0,44.0,48.0,5.0,38.0,37.0,56.0,48.0,24.0,35.0,53.0,28.0,35.0,51.0,50.0,50.0,39.0,56.0,46.0,25.0,33.0,26.0,32.0,42.0,41.0,29.0,39.0,25.0,48.0,32.0,43.0,39.0,51.0,27.0,49.0,35.0,34.0,49.0,59.0,39.0,46.0,39.0,38.0,47.0,48.0
48,43.0,32.0,58.0,37.0,48.0,35.0,40.0,42.0,47.0,63.0,47.0,37.0,43.0,45.0,46.0,45.0,16.0,43.0,31.0,24.0,47.0,38.0,30.0,47.0,41.0,38.0,42.0,41.0,40.0,43.0,41.0,49.0,31.0,55.0,56.0,57.0,42.0,43.0,29.0,37.0,7.0,54.0,43.0,51.0,55.0,44.0,42.0,41.0
49,46.0,57.0,41.0,,55.0,46.0,38.0,45.0,44.0,48.0,44.0,44.0,38.0,45.0,43.0,31.0,50.0,38.0,46.0,33.0,42.0,28.0,52.0,57.0,47.0,29.0,31.0,50.0,43.0,,40.0,53.0,36.0,,30.0,50.0,45.0,63.0,56.0,54.0,58.0,56.0,,53.0,51.0,48.0,55.0,42.0
50,49.0,,50.0,42.0,,46.0,19.0,46.0,42.0,36.0,44.0,,,57.0,47.0,49.0,35.0,,,56.0,37.0,,,,37.0,47.0,60.0,,,,,47.0,63.0,19.0,62.0,,43.0,49.0,45.0,31.0,,,,50.0,64.0,61.0,45.0,50.0
51,,38.0,57.0,,35.0,,41.0,,52.0,56.0,,80.0,48.0,,,50.0,33.0,52.0,46.0,,40.0,44.0,,45.0,27.0,40.0,41.0,22.0,29.0,45.0,40.0,,52.0,,56.0,63.0,,49.0,49.0,48.0,,,45.0,50.0,41.0,,32.0,49.0
52,51.0,44.0,52.0,50.0,54.0,59.0,31.0,45.0,39.0,,34.0,20.0,40.0,51.0,41.0,41.0,50.0,43.0,28.0,27.0,43.0,48.0,54.0,32.0,55.0,39.0,43.0,32.0,49.0,45.0,58.0,32.0,59.0,47.0,44.0,39.0,38.0,46.0,39.0,29.0,32.0,53.0,48.0,37.0,53.0,45.0,42.0,27.0
53,,33.0,52.0,46.0,48.0,39.0,52.0,44.0,41.0,38.0,40.0,38.0,40.0,48.0,39.0,53.0,25.0,40.0,45.0,34.0,40.0,46.0,49.0,37.0,48.0,32.0,54.0,53.0,47.0,43.0,42.0,39.0,61.0,37.0,41.0,56.0,35.0,42.0,47.0,41.0,44.0,49.0,45.0,50.0,42.0,44.0,38.0,45.0
54,59.0,47.0,58.0,54.0,61.0,55.0,26.0,53.0,,48.0,45.0,50.0,,53.0,45.0,34.0,53.0,50.0,56.0,58.0,30.0,54.0,49.0,,54.0,45.0,,47.0,51.0,33.0,49.0,20.0,45.0,47.0,51.0,47.0,49.0,38.0,30.0,48.0,44.0,60.0,48.0,32.0,,52.0,27.0,54.0
55,32.0,46.0,49.0,39.0,39.0,43.0,35.0,46.0,43.0,49.0,47.0,32.0,19.0,24.0,23.0,37.0,45.0,39.0,36.0,52.0,32.0,55.0,43.0,44.0,36.0,35.0,35.0,52.0,41.0,38.0,38.0,36.0,52.0,48.0,44.0,45.0,33.0,,41.0,31.0,44.0,50.0,46.0,30.0,49.0,42.0,30.0,62.0
56,38.0,,55.0,47.0,34.0,54.0,36.0,32.0,26.0,47.0,26.0,54.0,45.0,49.0,48.0,36.0,40.0,43.0,47.0,43.0,28.0,27.0,42.0,34.0,46.0,43.0,43.0,36.0,29.0,41.0,44.0,22.0,42.0,42.0,22.0,46.0,32.0,38.0,46.0,34.0,46.0,44.0,49.0,40.0,48.0,51.0,35.0,37.0
57,50.0,32.0,43.0,41.0,61.0,21.0,41.0,28.0,39.0,37.0,29.0,45.0,41.0,48.0,22.0,48.0,40.0,43.0,38.0,22.0,57.0,8.0,34.0,38.0,50.0,45.0,42.0,54.0,51.0,40.0,44.0,44.0,39.0,45.0,52.0,46.0,15.0,45.0,40.0,53.0,34.0,53.0,31.0,34.0,41.0,31.0,43.0,21.0
58,47.0,43.0,,35.0,36.0,,,,74.0,58.0,50.0,34.0,52.0,52.0,58.0,53.0,,55.0,36.0,26.0,9.0,44.0,,60.0,53.0,,62.0,,35.0,42.0,51.0,,50.0,48.0,,57.0,45.0,52.0,33.0,44.0,,57.0,55.0,,46.0,,,59.0
59,,,65.0,36.0,67.0,46.0,,58.0,,40.0,42.0,,40.0,,46.0,33.0,29.0,49.0,52.0,,50.0,49.0,38.0,,48.0,24.0,29.0,43.0,39.0,41.0,44.0,44.0,44.0,61.0,51.0,,30.0,39.0,50.0,44.0,,,46.0,58.0,44.0,46.0,42.0,
60,48.0,45.0,56.0,40.0,54.0,49.0,34.0,49.0,32.0,44.0,58.0,29.0,43.0,47.0,29.0,46.0,43.0,45.0,34.0,37.0,31.0,49.0,24.0,36.0,60.0,27.0,31.0,42.0,35.0,29.0,40.0,41.0,39.0,45.0,32.0,49.0,34.0,43.0,42.0,42.0,26.0,31.0,46.0,36.0,36.0,50.0,26.0,42.0
